,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_cere,param_alpha_cor,param_lambda_cere,param_lambda_cor,param_rank,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
323,304.0697236061096,31.077951862981877,0.10373369852701823,0.0035635249246862184,1000,0.1,0.1,1000,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 1000, 'rank': 1}",-0.13332494301129455,-0.10524139210662765,-0.16410959098659814,-0.13422530870150676,0.024041272895100253,195
324,311.63056500752765,36.24202450399828,0.11037365595499675,0.008699496195434246,1000,0.1,1,0.1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 0.1, 'rank': 1}",-0.1318109305649795,-0.10312665833476302,-0.16043708033627535,-0.13179155641200596,0.02339688581864703,41
325,292.65841205914813,51.17959910337523,0.09971364339192708,0.0014241721879016008,1000,0.1,1,1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 1, 'rank': 1}",-0.13267393815968212,-0.10405326510628383,-0.1614675089013926,-0.13273157072245287,0.02343930230439557,84
326,297.70756522814435,30.364922197394346,0.11536089579264323,0.0163716192521338,1000,0.1,1,100,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 100, 'rank': 1}",-0.13327695124549374,-0.1050314637216115,-0.1634180992687237,-0.13390883807860965,0.023840431530703258,153
327,301.29391773541766,26.178744952839455,0.10106301307678223,0.0009405490764054795,1000,0.1,1,1000,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 1000, 'rank': 1}",-0.13332469983420794,-0.10524672279698391,-0.1640998874815825,-0.13422377003759145,0.02403511311631491,194
328,254.3101986249288,28.386176160651715,0.10373377799987793,0.005659647412969619,1000,0.1,100,0.1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 100, 'lambda_cor': 0.1, 'rank': 1}",-0.13215275373791083,-0.10348519792599084,-0.1606912313506086,-0.13210972767150342,0.023354285166772765,49
329,228.817347129186,34.30612799767639,0.11170188585917155,0.014142889426228033,1000,0.1,100,1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 100, 'lambda_cor': 1, 'rank': 1}",-0.13289570059941097,-0.1045189638251037,-0.16177463569102749,-0.13306310003851404,0.02337482986938077,104
330,204.6810953617096,21.87031791261347,0.12715760866800943,0.02039594335056819,1000,0.1,100,100,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 100, 'lambda_cor': 100, 'rank': 1}",-0.13336956878512835,-0.10545177270395259,-0.1634717148351774,-0.13409768544141945,0.02369213704483051,182
331,161.47791322072348,42.96229955480277,0.10206929842631023,0.0034031075488757884,1000,0.1,100,1000,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 100, 'lambda_cor': 1000, 'rank': 1}",-0.13341511241717902,-0.10560905088856908,-0.16390922552089693,-0.13431112960888167,0.02380937806335774,199
332,147.88948424657187,7.413446550304175,0.10240284601847331,0.001230549716824634,1000,0.1,1000,0.1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1000, 'lambda_cor': 0.1, 'rank': 1}",-0.13300957575054528,-0.10471988699256013,-0.16210295428991883,-0.13327747234434142,0.02342730500295222,118
333,116.54717334111531,8.340828876171114,0.11103884379069011,0.010311741483154101,1000,0.1,1000,1,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1000, 'lambda_cor': 1, 'rank': 1}",-0.13381972746955073,-0.10540993151295647,-0.16318723464484244,-0.1341389645424499,0.023588565358806022,187
334,149.0846909681956,23.289927057161623,0.1242235501607259,0.019078074956650152,1000,0.1,1000,100,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1000, 'lambda_cor': 100, 'rank': 1}",-0.13396851902489584,-0.10573169922862521,-0.16488320515397456,-0.1348611411358319,0.02415674845647152,248
335,99.82109634081523,12.936660617119571,0.10473171869913737,0.0048863815074023905,1000,0.1,1000,1000,1,"{'alpha_cere': 1000, 'alpha_cor': 0.1, 'lambda_cere': 1000, 'lambda_cor': 1000, 'rank': 1}",-0.13390738213878453,-0.10571321771567221,-0.1650976537617733,-0.13490608453874334,0.02425387757302778,257
336,128.43947331110635,14.025064289551642,0.10814325014750163,0.005249063528738191,1000,1,0.1,0.1,1,"{'alpha_cere': 1000, 'alpha_cor': 1, 'lambda_cere': 0.1, 'lambda_cor': 0.1, 'rank': 1}",-0.13237130086600102,-0.1037587716360071,-0.1605937815362521,-0.13224128467942006,0.02320297776503146,58
337,149.5204541683197,8.399136390167822,0.10438736279805501,0.004098082593880367,1000,1,0.1,1,1,"{'alpha_cere': 1000, 'alpha_cor': 1, 'lambda_cere': 0.1, 'lambda_cor': 1, 'rank': 1}",-0.13297134582027217,-0.10449352247370193,-0.16149107720411437,-0.1329853151660295,0.023269156375891758,100
338,123.3597305615743,18.812433900222555,0.11667752265930176,0.01252726329326077,1000,1,0.1,100,1,"{'alpha_cere': 1000, 'alpha_cor': 1, 'lambda_cere': 0.1, 'lambda_cor': 100, 'rank': 1}",-0.13401946986417,-0.10583322236249083,-0.1632235820335011,-0.13435875808672063,0.02343074452032986,201
339,93.60132233301799,40.746887936894325,0.11405046780904134,0.009379310370701197,1000,1,0.1,1000,1,"{'alpha_cere': 1000, 'alpha_cor': 1, 'lambda_cere': 0.1, 'lambda_cor': 1000, 'rank': 1}",-0.13414107878547746,-0.1061524944892102,-0.16420369703136095,-0.13483242343534954,0.023704345554013684,246
