,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
245,normal,lasso,1,304,tessels0162,s20,-2.0,0.8246027442486946,0.7646371440036858
246,normal,WTA_old,2,304,tessels0162,s20,,0.025787497536990903,0.020747838403009426
247,normal,WTA,3,304,tessels0162,s20,,0.5310975178103432,0.4395734320454705
248,normal,ridge,0,304,tessels0162,s21,4.0,0.8208721952593484,0.7812647011175615
249,normal,lasso,1,304,tessels0162,s21,-2.0,0.8162794571874238,0.7609998085070618
250,normal,WTA_old,2,304,tessels0162,s21,,0.038124120780011206,0.011258345036488029
251,normal,WTA,3,304,tessels0162,s21,,0.4807234754452404,0.3844235716918977
252,normal,ridge,0,304,tessels0162,s22,4.0,0.823120157257607,0.7504133846667251
253,normal,lasso,1,304,tessels0162,s22,-2.0,0.8182857887473322,0.7219221601131149
254,normal,WTA_old,2,304,tessels0162,s22,,0.034767627464676605,0.02512033185194497
255,normal,WTA,3,304,tessels0162,s22,,0.522349071009258,0.38383510927406794
256,normal,ridge,0,304,tessels0162,s24,4.0,0.8246374285338015,0.770000799248526
257,normal,lasso,1,304,tessels0162,s24,-2.0,0.8197189623717349,0.7469324779160856
258,normal,WTA_old,2,304,tessels0162,s24,,0.031973870791187894,0.025981081214678476
259,normal,WTA,3,304,tessels0162,s24,,0.5072556766427104,0.443190377583354
260,normal,ridge,0,304,tessels0162,s25,4.0,0.8244652022628919,0.781540589315797
261,normal,lasso,1,304,tessels0162,s25,-2.0,0.8197809366381948,0.7604954400679005
262,normal,WTA_old,2,304,tessels0162,s25,,0.03475546710437662,0.03531658732362339
263,normal,WTA,3,304,tessels0162,s25,,0.5053904477772421,0.4487806575250731
264,normal,ridge,0,304,tessels0162,s26,4.0,0.8265031759252811,0.7753431851366677
265,normal,lasso,1,304,tessels0162,s26,-2.0,0.8216153872183721,0.7547373738630064
266,normal,WTA_old,2,304,tessels0162,s26,,0.03536241106545538,0.021606752723675963
267,normal,WTA,3,304,tessels0162,s26,,0.5096805740465437,0.41619191445131043
268,normal,ridge,0,304,tessels0162,s27,4.0,0.8321995683280197,0.7801225129175633
269,normal,lasso,1,304,tessels0162,s27,-2.0,0.8277874806467252,0.7586362738486389
270,normal,WTA_old,2,304,tessels0162,s27,,0.03206445220852143,0.039682627525686805
271,normal,WTA,3,304,tessels0162,s27,,0.5468139837119793,0.4695151419274867
272,normal,ridge,0,304,tessels0162,s28,4.0,0.824728662789687,0.7261577093230307
273,normal,lasso,1,304,tessels0162,s28,-2.0,0.8198543885176791,0.691129424983709
274,normal,WTA_old,2,304,tessels0162,s28,,0.04698300015369681,0.05001865231266601
275,normal,WTA,3,304,tessels0162,s28,,0.5083571320939326,0.3566345067154273
276,normal,ridge,0,304,tessels0162,s29,4.0,0.8330119917101905,0.7905259644780441
277,normal,lasso,1,304,tessels0162,s29,-2.0,0.82867215229172,0.7720632002049987
278,normal,WTA_old,2,304,tessels0162,s29,,0.027068725631267172,0.021461776410368883
279,normal,WTA,3,304,tessels0162,s29,,0.5162661003932787,0.4571596966031577
280,normal,ridge,0,304,tessels0162,s30,4.0,0.8203775741468533,0.7192161059176797
281,normal,lasso,1,304,tessels0162,s30,-2.0,0.8153638290165911,0.6808644144299921
282,normal,WTA_old,2,304,tessels0162,s30,,0.058304471711441375,0.04894912764061443
283,normal,WTA,3,304,tessels0162,s30,,0.5086035252519969,0.3697798884232429
284,normal,ridge,0,304,tessels0162,s31,4.0,0.8194055560493089,0.7452450846987665
285,normal,lasso,1,304,tessels0162,s31,-2.0,0.8141210862310809,0.7165170627976787
286,normal,WTA_old,2,304,tessels0162,s31,,0.054314391683885244,0.052785243266480104
287,normal,WTA,3,304,tessels0162,s31,,0.49641844091756554,0.39015481720352024
