,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
832,9,12.32846739442066,l2regress,crossed,tesselsWB362,0.1645377569891678,0.25263780715217693,1.0,0.5708574635587825,1,0.008558910751977953,0.43698898062685076
833,9,23.101297000831593,l2regress,crossed,tesselsWB362,0.17800461272959633,0.274599271971955,1.0,0.6018964050809964,1,0.008732282621092876,0.4374577252451429
834,9,43.28761281083057,l2regress,crossed,tesselsWB362,0.19447252418957536,0.2992934790958748,1.0,0.6360181008689231,1,0.008894059281262098,0.43754700505615896
835,9,81.11308307896869,l2regress,crossed,tesselsWB362,0.21244405125546748,0.3243390405896946,1.0,0.6709883025569183,1,0.008987346142472133,0.4370771900928096
836,9,151.99110829529332,l2regress,crossed,tesselsWB362,0.22976269520556852,0.34754983913922255,1.0,0.7035710386347697,1,0.008945713325795118,0.435837294858846
837,9,284.8035868435799,l2regress,crossed,tesselsWB362,0.24408810937497455,0.36782762680705205,1.0,0.728993802579967,1,0.008715881000995985,0.4337369489910522
838,9,533.6699231206308,l2regress,crossed,tesselsWB362,0.25338113284381336,0.38540356701451334,1.0,0.7417320674473197,1,0.0082956264669263,0.4308013676217079
839,9,1000.0,l2regress,crossed,tesselsWB362,0.25598965183115213,0.4010541212876808,1.0,0.7365146878324967,1,0.007756368621898769,0.4271715066663182
840,10,1.0,l2regress,crossed,tesselsWB362,0.15633230227640915,0.18972482438169289,1.0,0.4232047632141259,1,0.007815032432986039,0.4346117240671463
841,10,1.8738174228603839,l2regress,crossed,tesselsWB362,0.15946700394909244,0.1922352305572039,1.0,0.43060272566051633,1,0.007828616049318,0.4347087023800744
